"interaction","name","selected","shared interaction","shared name"
"interacts with","ASPH (interacts with) NDUFB8","false","interacts with","ASPH (interacts with) NDUFB8"
"interacts with","ASPH (interacts with) NDUFC2","false","interacts with","ASPH (interacts with) NDUFC2"
"interacts with","ASPH (interacts with) ABCB1","false","interacts with","ASPH (interacts with) ABCB1"
"interacts with","ASPH (interacts with) LEMD2","false","interacts with","ASPH (interacts with) LEMD2"
"interacts with","ASPH (interacts with) MCU","false","interacts with","ASPH (interacts with) MCU"
"interacts with","ASPH (interacts with) TRPM4","false","interacts with","ASPH (interacts with) TRPM4"
"interacts with","ASPH (interacts with) TMEM259","false","interacts with","ASPH (interacts with) TMEM259"
"interacts with","ASPH (interacts with) TMEM41B","false","interacts with","ASPH (interacts with) TMEM41B"
"interacts with","ASPH (interacts with) RETREG3","false","interacts with","ASPH (interacts with) RETREG3"
"interacts with","ASPH (interacts with) LRRC8A","false","interacts with","ASPH (interacts with) LRRC8A"
"interacts with","ASPH (interacts with) RHBDF1","false","interacts with","ASPH (interacts with) RHBDF1"
"interacts with","ASPH (interacts with) PIGS","false","interacts with","ASPH (interacts with) PIGS"
"interacts with","ASPH (interacts with) SEC62","false","interacts with","ASPH (interacts with) SEC62"
"interacts with","ASPH (interacts with) ECSIT","false","interacts with","ASPH (interacts with) ECSIT"
"interacts with","ASPH (interacts with) TM9SF4","false","interacts with","ASPH (interacts with) TM9SF4"
"interacts with","ASPH (interacts with) FAM162A","false","interacts with","ASPH (interacts with) FAM162A"
"interacts with","ASPH (interacts with) LRRC59","false","interacts with","ASPH (interacts with) LRRC59"
"interacts with","ASPH (interacts with) FKRP","false","interacts with","ASPH (interacts with) FKRP"
"interacts with","ASPH (interacts with) VPS45","false","interacts with","ASPH (interacts with) VPS45"
"interacts with","ASPH (interacts with) EXD2","false","interacts with","ASPH (interacts with) EXD2"
"interacts with","ASPH (interacts with) MGME1","false","interacts with","ASPH (interacts with) MGME1"
"interacts with","ASPH (interacts with) SLC38A1","false","interacts with","ASPH (interacts with) SLC38A1"
"interacts with","ASPH (interacts with) ACAD9","false","interacts with","ASPH (interacts with) ACAD9"
"interacts with","ASPH (interacts with) LEMD3","false","interacts with","ASPH (interacts with) LEMD3"
"interacts with","ASPH (interacts with) NDUFAF1","false","interacts with","ASPH (interacts with) NDUFAF1"
"interacts with","ASPH (interacts with) DHRS7","false","interacts with","ASPH (interacts with) DHRS7"
"interacts with","ASPH (interacts with) NDUFB9","false","interacts with","ASPH (interacts with) NDUFB9"
"interacts with","ASPH (interacts with) MCUB","false","interacts with","ASPH (interacts with) MCUB"
"interacts with","ASPH (interacts with) TMEM160","false","interacts with","ASPH (interacts with) TMEM160"
"interacts with","ASPH (interacts with) VTI1B","false","interacts with","ASPH (interacts with) VTI1B"
"interacts with","ASPH (interacts with) GSTK1","false","interacts with","ASPH (interacts with) GSTK1"
"interacts with","LDLRAD4 (interacts with) WWP2","false","interacts with","LDLRAD4 (interacts with) WWP2"
"interacts with","LDLRAD4 (interacts with) ATE1","false","interacts with","LDLRAD4 (interacts with) ATE1"
"interacts with","LDLRAD4 (interacts with) NEDD4","false","interacts with","LDLRAD4 (interacts with) NEDD4"
"interacts with","GTF2E2 (interacts with) OIP5","false","interacts with","GTF2E2 (interacts with) OIP5"
"interacts with","GTF2E2 (interacts with) GTF2E1","false","interacts with","GTF2E2 (interacts with) GTF2E1"
"interacts with","GTF2E2 (interacts with) MIS18A","false","interacts with","GTF2E2 (interacts with) MIS18A"
"interacts with","LDLRAD4 (interacts with) HECW1","false","interacts with","LDLRAD4 (interacts with) HECW1"
"interacts with","LDLRAD4 (interacts with) ANKRD13A","false","interacts with","LDLRAD4 (interacts with) ANKRD13A"
"interacts with","LDLRAD4 (interacts with) ITCH","false","interacts with","LDLRAD4 (interacts with) ITCH"
"interacts with","LDLRAD4 (interacts with) NEDD4L","false","interacts with","LDLRAD4 (interacts with) NEDD4L"
"interacts with","LDLRAD4 (interacts with) TUSC3","false","interacts with","LDLRAD4 (interacts with) TUSC3"
"interacts with","LDLRAD4 (interacts with) DPY19L1","false","interacts with","LDLRAD4 (interacts with) DPY19L1"
"interacts with","LDLRAD4 (interacts with) DPY19L2","false","interacts with","LDLRAD4 (interacts with) DPY19L2"
"interacts with","CCNC (interacts with) MED24","false","interacts with","CCNC (interacts with) MED24"
"interacts with","CCNC (interacts with) MED6","false","interacts with","CCNC (interacts with) MED6"
"interacts with","CCNC (interacts with) CDK8","false","interacts with","CCNC (interacts with) CDK8"
"interacts with","CCNC (interacts with) MED22","false","interacts with","CCNC (interacts with) MED22"
