g1,g2,p(Interactor)
79608,55735,0.767262515638214
79608,23310,0.873770500934327
79608,23326,0.94201788719011
79608,3156,0.874792148761157
79608,11331,0.99600168642615
79608,64924,0.969368530282933
79608,55005,0.939115154994932
79608,202018,0.999998595069367
79608,29781,0.999451545780623
79608,83590,0.817554771920546
79608,987,0.823277503570579
79608,55676,0.994547519202129
79608,10079,0.99770083833359
57007,506,0.986026081104138
57007,498,0.983971664613601
57007,513,0.758775406470338
57007,539,0.8174846237559
83942,3312,0.907637313785084
83942,22994,0.999990348054665
83942,10243,0.99893158148216
83942,131544,0.999998519635381
83942,26130,0.992064257098065
83942,28966,0.999035099074378
64854,23239,0.999997221448198
64854,91833,0.99999999999962
64854,1762,0.999999680926804
64854,57599,0.999870172224157
64854,58533,0.998099080712729
64854,6643,0.969217734538604
64854,23035,0.999999955873494
30813,1459,0.999992742455685
30813,1457,0.999974184582003
30813,1460,0.998890644350293
30813,219333,0.963722677381807
30813,8338,0.995104735489404
54543,279,0.998788159308139
54543,84134,0.876146615291224
521,93974,0.82502806633292
521,509,0.86615913486091
521,506,0.98899443244613
521,10476,0.911370280896494
521,513,0.93714176892558
521,498,0.985306845256267
521,515,0.99863331130325
521,54943,0.999999341330938
521,522,0.99986743858499
521,10560,0.98908991723413
521,10632,0.909927842794763
521,539,0.90553067443145
521,29956,0.83303835429028
521,4509,0.998856488149441
4502,5357,0.761196438583912
4502,9317,0.806280712619319
4502,56110,0.999994276234148
100272147,2671,0.7667681335655
10230,10531,0.888896822546929
10230,51291,0.999243391059851
10230,192670,0.820291463231695
4694,4707,0.997573280191447
4694,4729,0.96875496570647
4694,4731,0.99999588601599
4694,4538,0.970017467224112
4694,4701,0.99995829767479
4694,4715,0.993712378943484
4694,4696,0.759173901721776
4694,4714,0.99169645160843
4694,4724,0.999353310004643
4694,4704,0.894072920290563
4694,55967,0.999964753359905
4694,4723,0.934417768639625
4694,4709,0.98928750214316
4694,4718,0.99908806637563
4694,4540,0.991765209085361
4694,4726,0.99859375011832
4694,4712,0.999534468739915
4694,4711,0.996854958279552
55505,92345,0.999998973994444
55505,4904,0.9663695707497
55505,26094,0.999981280760974
55505,1736,0.99999973396993
55505,10514,0.92376106564605
55505,55135,0.99963731572155
55505,6426,0.97908874916844
55505,6223,0.98642308672561
55505,3836,0.81023855422608
55505,54433,0.99999417038
55505,55164,0.999999905834724
55505,11103,0.92639098625318
55505,6625,0.85649397408855
55505,49860,0.831131657428468
4946,7532,0.7735642678375
4946,59,0.988833364072792
4946,3934,0.916743537366027
5441,5436,0.99988760455589
5441,171568,0.9999999939632
5441,26015,0.999258286203851
5441,64425,0.999997739081017
5441,84172,0.999554245469153
5441,5271,0.987575669005611
5441,8710,0.989343578795517
5441,25885,0.999559481250921
5441,11128,0.999901320765819
5441,1828,0.891574256770596
5441,79871,0.999778456821178
5441,3034,0.928432843278927
5441,55718,0.99999900820504
5441,55703,0.999987636808774
5441,5430,0.995195867418263
5441,81488,0.99998993127689
5441,10623,0.999995330767409
5441,5433,0.99995967084021
5441,58490,0.99999593412144
5441,55197,0.999941921802284
5441,6830,0.999783444165567
5441,89777,0.950260349345093
5441,23248,0.99996523040389
5441,5431,0.989647353747974
5441,27297,0.99999497585331
5441,91433,0.90979531739985
5441,661,0.99999979498896
5441,54700,0.99999918834256
5441,9400,0.999999480355781
5441,5437,0.991190387676149
5441,383,0.83592656722845
5441,11321,0.99993901905015
5441,221830,0.991654938167042
5441,5439,0.99958072525566
5441,7053,0.86036521375035
5441,9533,0.99866258469191
5441,79983,0.871209900838147
5441,5438,0.990381977983611
5441,5434,0.97858538016269
5441,10622,0.999999969661516
5441,10621,0.999999563316586
5441,5317,0.895739709108864
5441,10849,0.999999187695039
5441,51200,0.96520489169005
5441,121214,0.98334829550802
5441,5432,0.996919143882702
5441,51184,0.99796459634558
5441,242,0.926460881426243
5441,84265,0.99999992136612
5441,145264,0.939653125101136
5441,1041,0.969932545961074
5441,79887,0.997633840702437
5441,5275,0.932604433477251
5441,5055,0.999732612105745
5441,342897,0.840484576510843
5441,54707,0.99999774422535
5441,9150,0.992956673470971
5441,51082,0.99951560186494
5441,5435,0.99949091518729
5441,51728,0.99996264658681
5441,11060,0.89136324063847
6227,283458,0.840883020006287
6227,3921,0.91828784173911
6234,6188,0.85840958543477
6234,79896,0.99984350724047
6234,6160,0.88666433798226
6234,6143,0.75580718378718
155370,80380,0.992013638867783
9403,7276,0.97553788757382
9403,8710,0.999518115148486
9403,383,0.78829950573943
9403,145264,0.99599866836543
9403,51200,0.89615857972932
9403,121214,0.984141324155866
9403,5055,0.99327976891246
9403,5271,0.988973425291385
9403,79887,0.978026382825989
9403,5265,0.998402537148871
9403,3043,0.855255860922713
6767,4753,0.998774733399364
29796,7381,0.99991182470451
29796,7385,0.98164711084921
29796,9167,0.999906908835933
29796,7386,0.85856391459725
29796,1537,0.99753403995082
29796,7384,0.993957351433304
29796,80142,0.94827074708541
29796,27089,0.99658471345863
29796,23456,0.993686698334414
29796,4519,0.999846387528386
29796,7388,0.99842366567506
29796,1340,0.945514938802122
29796,7105,0.96827048518526
84833,5824,0.84744162009658
404550,5533,0.988122604834414
404550,10444,0.870650748621746
404550,27252,0.985371470897754
404550,84890,0.996479108493626
10063,54902,0.971078308679575
10063,6821,0.999142785683799
1350,1345,0.998819812641077
1350,7385,0.879865743413307
1350,9167,0.999281334049969
1350,1327,0.959252378433374
1350,399687,0.77471189405703
1350,7009,0.794615565959355
1350,1329,0.983324336254383
1350,1340,0.99998332205915
1350,4513,0.923607187537882
1350,7381,0.857605051618151
1350,4512,0.966187062809921
245909,1474,0.862139502690124
245909,8710,0.991013817859938
245909,7051,0.923583140591758
245909,78991,0.991621432630501
245909,1515,0.989897960299076
245909,55831,0.98393157468033
245909,84659,0.834955782517668
245909,79983,0.862983097226173
245909,23670,0.988032518186226
245909,242,0.943089583503662
245909,1041,0.904182138733393
245909,27178,0.987514420115622
245909,56851,0.81365590604295
245909,51234,0.866144610340364
245909,23491,0.993080451675401
245909,10328,0.868706645139212
245936,5203,0.96518217452816
245936,5202,0.869855939980924
245936,9254,0.810716285211613
245936,781,0.995447659576668
245936,5201,0.903562105866366
245936,6653,0.990355824358787
245936,7411,0.837341059059841
245936,5204,0.899082571544169
245936,1292,0.91939383625332
245936,10471,0.908416904664516
245936,91147,0.944728804969686
245936,3949,0.985607329382627
245936,53353,0.975426620861015
245936,1486,0.873450486557158
245936,4038,0.932276823622082
54065,203547,0.965000299130688
54065,506,0.923831416723039
54065,80727,0.754674314153658
2790,2784,0.999975654217288
2790,2782,0.995652912724871
2790,2783,0.999942434425367
2790,59345,0.999985630445462
2790,2778,0.98507652696882
2790,2773,0.99045507334753
2790,2775,0.820000857073676
2790,2770,0.83084111672707
2790,2781,0.988721834220491
2790,2767,0.998319270820025
2790,2776,0.999861855858133
2790,10672,0.99886142668494
2790,5082,0.980526674372671
2787,2778,0.98421281918324
2787,2773,0.99966276732617
2787,2770,0.99549631851448
2787,2776,0.959086055166693
2787,10672,0.98923616245165
2787,138199,0.999999826412879
2787,5082,0.925377766638596
2787,2782,0.99996970417857
2787,59345,0.999989225415829
2787,2783,0.99998073127855
2787,10681,0.99806342678674
55891,55131,0.797271145252751
55891,9555,0.819935674366514
55891,3007,0.999999863175129
55891,3006,0.999998148322961
55891,3024,0.999997949301438
55891,201161,0.999968033626353
55891,64802,0.751453450952429
55891,168850,0.999404253229691
55891,135295,0.979470370972712
9553,4904,0.99790094473335
9553,6182,0.9850778896906
9553,84311,0.798657209430332
9553,65005,0.756160747256669
9553,54148,0.770830684670553
9553,124995,0.98960999323173
9553,79590,0.889127776697235
9553,54534,0.99096446613583
9553,29093,0.798318181405017
9553,51264,0.849948641650393
9553,57129,0.9567747223248
9553,3396,0.771647478508116
9553,51069,0.99360116494822
9553,28998,0.9996402461317
9553,51073,0.84603583757073
9553,51318,0.875677022350593
9553,51263,0.9999783559481
9553,55168,0.857924390268266
9553,28977,0.91836020146273
9553,55052,0.83169359062402
9553,29074,0.99971530276866
9553,10884,0.99846119672585
9553,6150,0.86588017453225
9553,51258,0.996671277490349
25847,8881,0.999998781359524
25847,119504,0.99999903997547
25847,29945,0.999999365221883
25847,64682,0.999989726653722
25847,8697,0.999996684339257
25847,51343,0.999855551470414
25847,29882,0.999998197883483
25847,246184,0.999998314476361
25847,26271,0.999945602083349
25847,10393,0.988341273837082
25847,51433,0.999993947247652
25847,996,0.999991918902608
25847,51434,0.999288325543954
8992,203547,0.984094765173455
8992,23545,0.997961458432894
8992,535,0.913482088310713
8992,10159,0.771706282382445
8992,7905,0.811339603246777
8992,54872,0.87980656085046
8992,6542,0.999485351078187
8992,537,0.773868594514753
8992,147007,0.992985626966245
8992,5792,0.915496569053394
8992,84317,0.998671264376036
2785,2781,0.999793510616771
2785,2767,0.998160607371905
2785,2776,0.999833127440072
2785,10672,0.999367199290757
2785,2782,0.976036392765119
2785,59345,0.999656775865285
2785,2318,0.987014598861023
2785,2771,0.934570504523904
2785,2775,0.999902488556692
2785,2780,0.999992659004363
2785,2778,0.93559308553302
2785,2770,0.811615183489049
2785,5082,0.755619885460209
2786,59345,0.989324107781569
2786,2778,0.9999612209975
2786,2771,0.99997930449167
2786,2773,0.99999930481013
2786,2770,0.99995819498504
2786,2776,0.856032426143303
2786,10672,0.91539236277721
2786,5082,0.906252105647296
2786,158747,0.987082314211956
2786,79734,0.828387536788698
8970,2266,0.999998582084702
8970,2244,0.99999921735122
8970,2243,0.999999710237195
8970,84196,0.994018417096636
8970,3043,0.99240049056476
8970,4193,0.758332140723471
51124,54832,0.99915976409574
11157,57819,0.99970428118699
11157,25804,0.99999731911505
