g1,g2,p(Interactor)
55554,4241,0.783915688930846
55554,25800,0.816070283271011
55554,6768,0.887458610005873
55554,9777,0.92719836239706
55554,4669,0.985661055138855
55554,2990,0.919972804694319
55554,5361,0.90883531669665
55554,51604,0.866421395486913
55554,171586,0.999950984033811
55554,2132,0.795201510672694
55554,334,0.779410959341424
55554,5445,0.952941551228712
55554,22836,0.897592110964869
55554,23141,0.982366980356415
55554,170384,0.984664079032619
55554,10026,0.793533911445006
55554,2175,0.854098801784015
55554,11247,0.93206427422231
55554,5551,0.969104430425038
55554,65123,0.928184117445694
55554,89944,0.999115772808671
55554,23770,0.910276403039626
55554,317,0.958931927874813
55554,41,0.982199955030443
55554,57521,0.78362959000992
55554,51061,0.996885454392827
55554,90161,0.885130183893507
55554,221806,0.956455284587283
55554,23505,0.81144965982176
55554,79070,0.784325528565371
55554,27304,0.998098638055858
55554,4668,0.809414031504135
55554,84197,0.993982966671744
55554,23178,0.925035974619475
55554,8747,0.989462603274884
55554,1824,0.916258884671094
55554,50999,0.837002830303787
55554,55324,0.893611380712346
55554,23765,0.97734710472513
55554,5652,0.970799498186454
55554,8728,0.998242021019132
55554,7368,0.924821167843267
55554,26090,0.924787059413556
55554,51148,0.980372165859596
55554,1719,0.932553221664275
55554,55741,0.999644995954036
55554,84896,0.755247826313002
55554,55501,0.990247378731431
55554,5606,0.999781584881518
55554,1353,0.838231898646473
55554,6892,0.849858736019872
55554,80020,0.924829530724048
55554,10982,0.970985538015929
55554,83985,0.800872955930455
55554,4122,0.887192999444895
55554,1952,0.942685901918412
55554,126353,0.786901717027169
55554,10501,0.982217848158916
55554,23353,0.965007177458736
55554,90550,0.996033327571265
55554,285362,0.997137531612356
55554,27163,0.800924626849342
55554,339123,0.989359745906907
55554,23376,0.895774906244982
55554,79934,0.846766643474853
55554,80179,0.94258420715307
55554,9746,0.859486034398909
55554,84168,0.936618766516101
55554,57190,0.997432754849051
55554,221927,0.941015084886838
55554,55830,0.782369950868268
55554,954,0.782888964729451
55554,54982,0.977716091070543
55554,656,0.99984569885342
55554,79412,0.806914090923151
55554,3714,0.931806870929919
55554,151176,0.940766027311052
55554,23324,0.914979440214684
55554,9647,0.899234108011584
55554,83440,0.99285118419437
55554,54972,0.904881104807034
55554,9289,0.760099490811183
55554,8724,0.933987252466799
55554,7057,0.913436230324139
55554,9088,0.998205561844853
55554,166,0.807629272112599
55554,10554,0.890202518193542
55554,80146,0.980219471034592
55554,83986,0.985891088964669
