Gene,HEKTE,HCT116,U2OS
547,0.005800071714131404,0.012390137144533244,0.10664826961890392
549,0.17750777428672915,0.2775786234878458,0.20318815371690951
550,0.39602307710905504,0.47530446696389544,0.4522394169958784
551,0.0,0.0,0.0
552,0.0008529971234947871,0.0,0.0009248590718990001
553,0.004182561394741299,0.0,0.0009248590718990001
554,0.005800071714131404,0.02696674854810028,0.02148127282492568
558,0.3863464381481906,0.3158024795822832,0.422909077301518
563,0.0033622153870905155,0.027675072449558077,0.023668375376313208
566,0.004182561394741299,0.0,0.01459311690751855
567,0.6641703421471213,0.5949147870241934,0.6153965216213468
570,0.06069672493491637,0.018803496023773746,0.027893992565873098
571,0.24333128454090844,0.21687938541751048,0.25027044962762923
572,0.33890350854659385,0.34122098888197205,0.3764741560076176
573,0.29194003305985533,0.36326481542967665,0.3363766349767477
575,0.0008529971234947871,0.03770858840294851,0.31044775965823707
576,0.1568242074252707,0.15964218261377874,0.3627351920134792
577,0.04447385921134383,0.0,0.016946345633316377
578,0.25150635769248414,0.30036157567601324,0.293356379132278
579,0.0016975901978076029,0.02110063243551124,0.09896227558525854
580,0.16098710926170728,0.21407092178496082,0.23341216422812786
581,0.44024369037434524,0.4300591756158097,0.5607250327673883
582,0.232034590356587,0.24646199361836038,0.2630116646418542
583,0.2707083778537995,0.26188223884003525,0.2891454903933831
585,0.22876846185078234,0.23958839437425947,0.23453699727627708
586,0.25442018472495265,0.014846399885270206,0.3644642395718226
587,0.3064335543355044,0.3524411618387567,0.33056712738817123
590,0.15487581665542513,0.005509954491184496,0.015384164829807112
593,0.2435316949270116,0.22970877006549675,0.3027606298669031
594,0.2212553061211273,0.15406228670025385,0.1803349671925858
595,0.3317176612087149,0.5451195661520297,0.42329135627157416
596,0.027610770171417654,0.07668220892987454,0.0912818074022042
597,0.06481893750378476,0.0,0.0
598,0.3296902744039183,0.4918192576459666,0.4190177271507907
599,0.252593799381363,0.30942439866002375,0.31554249120354366
602,0.22292617092956812,0.18387163444201488,0.23732710222838865
604,0.19190337756057121,0.16687435362771033,0.16868354946792183
605,0.14231556833017353,0.2087122221740037,0.18205504248343402
607,0.1778314707202128,0.2670728538965497,0.31323801840059534
608,0.011232463782206584,0.004613636892234392,0.01299053289979157
610,0.04344719420250948,0.051282618091175576,0.11347317438052595
611,0.0,0.0018725522533507403,0.0
613,0.2137312930327845,0.28579811872731803,0.032592704063896236
617,0.2965914433887718,0.39938858724204856,0.3387871595543338
622,0.21062940086965112,0.2994494703153279,0.23119811332195492
623,0.06401020033948737,0.007277497518093384,0.02580519522707531
624,0.07681759718588393,0.004613636892234392,0.037686996453283786
627,0.23220609859041103,0.24667112189827586,0.15014936179302169
629,0.21699808366242138,0.03249011686989002,0.08328920424464015
631,0.056809260229552364,0.1557164536401572,0.048220622345652754
632,0.030060236914080277,0.012390137144533244,0.04192638263329018
633,0.2902156939254233,0.0018725522533507403,0.0946993824498053
634,0.034758700589704476,0.02110063243551124,0.016946345633316377
635,0.0,0.0037087419610916175,0.0
636,0.2368740969807918,0.2609887443307151,0.31591590008811327
637,0.3443836525690046,0.3809607591388691,0.29240142994626567
638,0.11862620016305368,0.26667920147502483,0.09162927535766165
639,0.01047716811556418,0.04385105895612175,0.07027970051718002
640,0.0,0.0037087419610916175,0.01616853716263332
641,0.17134587677662366,0.2836563251779427,0.24982889264594563
642,0.30297710444515585,0.4072128179638771,0.3893759682367505
643,0.0016975901978076029,0.0,0.006288706954252695
644,0.3312332843633624,0.34163001162813617,0.3798752500880846
645,0.28665933866835647,0.38552710340683033,0.4454261788179515
646,0.23644031741582788,0.0009409112327372734,0.0036454699749618497
648,0.2500810147941636,0.4023067728081642,0.40863678875210296
649,0.3278199602644481,0.26008672669266064,0.3449632435074218
650,0.11122568173013535,0.00639785583818715,0.07578617792724217
651,0.005800071714131404,0.0,0.0018406060836133342
652,0.11688992807982836,0.44954403531445025,0.4749169887049931
653,0.0016975901978076029,0.0,0.280195471032786
654,0.007387626410394262,0.06019521338659769,0.16731104195550695
655,0.005800071714131404,0.14573323273142502,0.2696800862492656
656,0.06069672493491637,0.16622444867293754,0.0285799556043404
657,0.2533558088752879,0.3069539798991563,0.2581111425628012
658,0.03066182186437722,0.0009409112327372734,0.13137423565473852
659,0.21760968319080035,0.17359247831732688,0.30602968452332097
660,0.0,0.0009409112327372734,0.013795278791280273
661,0.23837526986298088,0.33196982209144404,0.31018389129127094
662,0.24715719936898956,0.3017328978047131,0.2662468254300434
663,0.30805196282612085,0.34150238197089705,0.38368203899913006
664,0.3530925959680736,0.2687416171813935,0.2629018624201782
665,0.31144953622716365,0.22377798058205825,0.40585855788985903
666,0.25850824803522643,0.24181345700301599,0.3318840602976921
667,0.3681065775916491,0.41816756059029003,0.4173435095135812
668,0.0469879837850632,0.002795103948375123,0.0018406060836133342
669,0.22835130529226355,0.24576154005485268,0.178854235995433
670,0.23163306501543615,0.23707879283431194,0.22668636218578034
671,0.0,0.0,0.0027474188357120687
672,0.24282819915567228,0.3199023413532397,0.3126609015906156
673,0.15627202835921386,0.21208427731406618,0.21195201345075115
675,0.1289377923102132,0.23020733430669071,0.21908423314910788
676,0.0,0.0009409112327372734,0.0
677,0.36846856009666795,0.4507182157456621,0.4204104165262399
678,0.12158254497441,0.25377825350579886,0.2942624232239662
680,0.0016975901978076029,0.0,0.0009248590718990001
682,0.5551559492953712,0.5751265235707728,0.5673281321789115
683,0.2046204541313202,0.02696674854810028,0.048772241589858496
684,0.06562011626627752,0.05505477402493094,0.15125151980414958
685,0.009715158621639356,0.12941963723434152,0.008858849593758931
686,0.23395854379824557,0.1553513535777464,0.25839988951710385
687,0.11667040042180098,0.08814618001536219,0.1956874378900803
688,0.13710830547329825,0.3367084940744926,0.23732710222838865
689,0.5696604582439889,0.6554178026390652,0.5991906800617435
694,0.22425233776432385,0.24812221122311406,0.1991323924652017
695,0.005800071714131404,0.00639785583818715,0.008010007439955375
696,0.007387626410394262,0.013216000897909565,0.0
699,0.32251048169066815,0.41364414941364475,0.4064349605371974
701,0.350975460783228,0.42456584089716054,0.4243031463822368
705,0.2759054540903061,0.4002845128880745,0.33240565296748487
706,0.43273643393269523,0.4318248644039737,0.424090030443486
708,0.4406814128862081,0.614914691118528,0.43688132598309654
710,0.08857026015900722,0.06266430401837965,0.3396331320941436
712,0.0,0.0,0.0
713,0.0,0.0,0.0
714,0.0,0.0,0.0
715,0.19984094084223378,0.07282204852378933,0.2788170833917611
716,0.13302959085517146,0.06833965495407104,0.12744791604214636
717,0.01047716811556418,0.012390137144533244,0.0272029293836508
718,0.17204001420166795,0.03513534666154566,0.15179773628209775
719,0.06913554975244364,0.002795103948375123,0.009700009812780701
